('碟中谍6：全面瓦解', ['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森'], '8.1')
('天使爱美丽', ['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔日·梅兰'], '8.7')
('大话西游之月光宝盒', ['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚'], '9.0')
('无间道', ['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'], '9.2')
('无名之辈', ['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉'], '8.1')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('寻梦环游记', ['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托'], '9.0')
('碟中谍6：全面瓦解', ['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森'], '8.1')
('天使爱美丽', ['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔日·梅兰'], '8.7')
('大话西游之月光宝盒', ['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚'], '9.0')
('无间道', ['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'], '9.2')
('无名之辈', ['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉'], '8.1')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('碟中谍6：全面瓦解', ['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森'], '8.1')
('天使爱美丽', ['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔日·梅兰'], '8.7')
('大话西游之月光宝盒', ['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚'], '9.0')
('无间道', ['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'], '9.2')
('无名之辈', ['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉'], '8.1')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('老炮儿', ['冯小刚', '许晴', '张涵予', '刘桦', '李易峰'], '7.7')
('天使爱美丽', ['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔日·梅兰'], '8.7')
('大话西游之月光宝盒', ['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚'], '9.0')
('无间道', ['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'], '9.2')
('无名之辈', ['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉'], '8.1')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('老炮儿', ['冯小刚', '许晴', '张涵予', '刘桦', '李易峰'], '7.7')
('芳华', ['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰'], '7.6')
('大话西游之月光宝盒', ['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚'], '9.0')
('无间道', ['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'], '9.2')
('无名之辈', ['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉'], '8.1')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('老炮儿', ['冯小刚', '许晴', '张涵予', '刘桦', '李易峰'], '7.7')
('芳华', ['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰'], '7.6')
('蝴蝶效应', ['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特'], '8.8')
('无间道', ['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'], '9.2')
('无名之辈', ['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉'], '8.1')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('老炮儿', ['冯小刚', '许晴', '张涵予', '刘桦', '李易峰'], '7.7')
('芳华', ['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰'], '7.6')
('蝴蝶效应', ['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特'], '8.8')
('七宗罪', ['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克'], '8.8')
('无名之辈', ['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉'], '8.1')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('老炮儿', ['冯小刚', '许晴', '张涵予', '刘桦', '李易峰'], '7.7')
('芳华', ['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰'], '7.6')
('蝴蝶效应', ['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特'], '8.8')
('七宗罪', ['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克'], '8.8')
('失恋33天', ['白百何', '文章', '张嘉译', '王耀庆', '张子萱'], '7.2')
('剪刀手爱德华', ['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'], '8.7')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('老炮儿', ['冯小刚', '许晴', '张涵予', '刘桦', '李易峰'], '7.7')
('芳华', ['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰'], '7.6')
('蝴蝶效应', ['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特'], '8.8')
('七宗罪', ['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克'], '8.8')
('失恋33天', ['白百何', '文章', '张嘉译', '王耀庆', '张子萱'], '7.2')
('邪不压正', ['彭于晏', '廖凡', '姜文', '周韵', '许晴'], '7.0')
('战狼2', ['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗'], '7.1')
('复仇者联盟', ['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳'], '8.2')
('美丽人生', ['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'], '9.5')
('罗马假日', ['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'], '9.0')
('V字仇杀队', ['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特'], '8.9')
('飞驰人生', ['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉'], '6.9')
('唐伯虎点秋香', ['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'], '8.5')
('夏洛特烦恼', ['沈腾', '马丽', '尹正', '艾伦', '王智'], '7.6')
('动物世界', ['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈'], '7.2')
('唐人街探案2', ['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤'], '6.7')
('绿皮书', ['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'], '8.9')
('人再囧途之泰囧', ['徐峥', '王宝强', '黄渤', '陶虹', '谢楠'], '7.4')
('辛德勒的名单', ['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'], '9.5')
('老炮儿', ['冯小刚', '许晴', '张涵予', '刘桦', '李易峰'], '7.7')
